,City,Country,Lat,Long,Temp,Max Temp,Humidity,Clouds,Wind Speed
189,klaksvik,FO,62.23,-6.59,41.0,41.0,86,100,10.29
190,mar del plata,AR,-46.43,-67.52,65.53,65.53,28,100,24.11
191,tarko-sale,RU,64.92,77.78,-4.0,-4.0,84,100,17.02
192,puerto ayora,EC,-0.74,-90.35,69.78,71.6,83,90,12.75
193,eureka,US,40.8,-124.16,52.41,54.0,87,90,4.7
194,ulagan,RU,50.63,87.96,-16.58,-16.58,74,15,4.03
195,saint-joseph,FR,43.56,6.97,54.52,57.2,47,100,4.7
196,monte azul,BR,-15.15,-42.87,84.18,84.18,54,90,2.98
197,izobilnyy,RU,45.37,41.71,45.64,46.0,70,20,22.37
198,kathu,ZA,-27.7,23.05,95.0,95.0,10,19,4.0
199,karpogory,RU,64.0,44.44,26.56,26.56,96,100,2.8
200,beloha,MG,-25.17,45.06,75.61,75.61,78,96,11.65
201,goundam,ML,16.42,-3.66,94.03,94.03,10,53,10.76
202,simpang,ID,4.36,96.17,74.17,74.17,96,100,1.86
203,mirwah,YE,13.92,43.92,67.78,67.78,60,84,4.92
204,geraldton,CA,49.72,-86.95,5.0,5.0,84,75,13.73
205,bandarbeyla,SO,9.49,50.81,79.63,79.63,79,41,20.36
206,kosa,JP,32.67,130.82,48.13,48.2,49,0,4.7
207,sulangan,PH,11.14,123.72,80.64,80.64,79,94,7.38
208,plouzane,FR,48.38,-4.62,49.53,51.8,76,75,13.87
209,alta floresta,BR,-9.87,-56.08,84.67,84.67,76,100,2.75
210,saskylakh,RU,71.97,114.09,-9.89,-9.89,97,100,5.21
211,wylie,US,33.02,-96.54,33.48,39.99,77,1,6.93
212,faanui,PF,-16.48,-151.75,79.12,79.12,83,1,15.46
213,todos santos,MX,23.45,-110.23,69.46,75.0,83,40,3.36
214,aswan,EG,24.09,32.9,84.2,84.2,21,0,8.05
215,hnaberd,AM,40.64,44.14,47.53,50.0,48,0,9.17
216,mago,RU,53.27,140.15,28.99,28.99,95,100,13.51
217,xining,CN,36.62,101.77,32.09,32.09,36,33,10.74
218,abu kamal,SY,34.45,40.92,67.53,67.53,15,0,9.57
219,port-gentil,GA,-0.72,8.78,75.2,75.2,94,40,6.93
220,bonavista,CA,48.65,-53.11,44.01,44.01,86,100,18.01
221,bar harbor,US,44.39,-68.2,19.26,21.99,52,1,8.05
222,husavik,CA,50.56,-96.99,31.41,33.01,73,100,8.99
223,padang,ID,-0.92,100.36,66.96,66.96,93,12,3.71
224,mkuranga,TZ,-7.12,39.21,89.6,89.6,62,40,18.34
225,bujumbura,BI,-3.36,29.37,67.17,67.17,85,89,5.23
226,marsh harbour,BS,26.54,-77.06,73.81,73.81,86,100,19.44
227,wangkui,CN,46.83,126.5,12.6,12.6,35,0,4.0
228,colquechaca,BO,-18.7,-66.0,58.01,58.01,33,38,7.4
229,chalus,IR,36.66,51.42,50.0,50.0,71,75,11.41
230,ola,RU,59.58,151.3,13.42,13.42,68,100,16.96
231,igarka,RU,67.47,86.57,-18.45,-18.45,88,0,9.64
232,gurupi,BR,-11.73,-49.07,97.68,97.68,36,100,3.8
233,surt,LY,31.21,16.59,73.4,73.4,19,100,13.98
234,plettenberg bay,ZA,-34.05,23.37,63.59,63.59,94,93,11.7
235,coquimbo,CL,-29.95,-71.34,60.8,60.8,77,90,4.7
236,kurayoshi,JP,35.43,133.83,55.4,55.4,93,75,5.82
237,maun,BW,-19.99,23.42,98.6,98.6,19,20,9.17
238,rio grande,BR,-32.03,-52.1,73.17,73.4,56,0,2.24
239,taunggyi,MM,20.78,97.03,62.82,62.82,91,44,1.48
240,saint-pierre,FR,48.95,4.24,45.3,48.99,81,90,12.75
241,tiznit,MA,29.7,-9.73,57.27,57.27,37,0,11.32
242,esmeraldas,BR,-19.76,-44.31,71.6,71.6,78,75,4.7
243,qaqortoq,GL,60.72,-46.03,21.2,21.2,37,75,5.82
244,saint george,GR,39.45,22.34,66.2,66.2,72,20,3.36
245,sotouboua,TG,8.56,0.98,91.33,91.33,31,25,3.53
246,honnali,IN,14.24,75.65,72.23,72.23,71,100,6.76
247,verkhnevilyuysk,RU,63.45,120.31,-8.46,-8.46,96,100,6.53
248,luanda,AO,-8.83,13.24,82.4,82.4,74,40,11.41
249,nalut,LY,31.86,10.98,80.37,80.37,12,0,14.72
250,lac-megantic,CA,45.58,-70.88,5.97,9.0,71,20,7.74
251,singaraja,ID,-8.11,115.08,82.0,82.0,76,1,11.97
252,okha,RU,53.59,142.95,33.01,33.01,96,100,33.2
253,maldonado,UY,-34.91,-54.96,75.2,75.2,53,90,9.17
254,los andes,CL,-32.83,-70.6,75.2,75.2,47,36,2.24
255,veraval,FR,49.65,0.71,44.31,45.0,81,75,9.17
256,iquique,CL,-20.22,-70.14,68.0,68.0,60,88,9.17
257,zhuhai,CN,40.71,112.04,37.4,37.4,47,20,2.24
258,scunthorpe,GB,53.59,-0.65,48.11,50.0,100,75,9.17
259,paamiut,GL,61.99,-49.67,25.72,25.72,49,100,17.47
260,penzance,GB,50.12,-5.53,49.53,52.0,87,75,6.93
261,makokou,GA,0.56,12.85,79.14,79.14,83,100,0.31
262,santa isabel do rio negro,BR,-0.41,-65.02,80.37,80.37,93,99,3.36
263,nhulunbuy,AU,-12.18,136.78,78.8,78.8,83,100,4.7
264,del rio,US,29.36,-100.9,38.03,41.0,75,1,5.82
265,zhukovka,RU,55.51,37.29,36.88,37.4,93,90,8.95
266,magole,TZ,-6.37,37.37,87.8,87.8,62,40,9.17
267,coari,BR,-4.09,-63.14,80.22,80.22,79,100,3.62
268,benguela,AO,-12.58,13.4,77.94,77.94,75,100,6.93
269,auki,NG,12.18,6.51,95.18,95.18,15,65,7.99
270,comodoro rivadavia,AR,-45.87,-67.48,66.2,66.2,29,100,18.34
271,koutsouras,GR,35.03,25.95,73.0,73.0,50,67,8.01
272,sao miguel do araguaia,BR,-13.28,-50.16,78.01,78.01,78,92,3.6
273,hanyang,CN,32.14,105.51,57.0,57.0,79,18,3.62
274,turukhansk,RU,65.8,87.96,-15.83,-15.83,82,0,10.13
275,makakilo city,US,21.35,-158.09,75.88,78.8,100,75,4.7
276,garwa,IN,27.63,81.51,73.45,73.45,53,72,5.73
277,arsk,RU,56.09,49.88,33.8,33.8,86,20,6.71
278,berlevag,NO,70.86,29.09,34.68,34.68,74,45,6.58
279,kieta,PG,-6.22,155.63,80.92,80.92,81,88,2.66
280,puerto penasco,MX,31.32,-113.53,57.99,57.99,82,100,4.0
281,dalvik,SE,57.79,14.13,45.45,46.0,93,100,8.05
282,cayenne,GF,4.94,-52.33,86.0,86.0,70,6,6.93
283,manching,DE,48.72,11.49,43.02,45.0,81,90,2.24
284,san patricio,PY,-26.98,-56.83,81.73,81.73,36,0,5.35
285,ishigaki,JP,24.34,124.16,76.35,76.35,81,1,18.61
286,ocampo,MX,27.32,-102.4,51.1,51.1,63,59,2.57
287,namatanai,PG,-3.66,152.44,82.72,82.72,73,99,1.36
288,ust-karsk,RU,52.71,118.82,-4.4,-4.4,92,95,2.82
289,cabedelo,BR,-6.97,-34.84,86.0,86.0,58,75,11.41
290,placido de castro,BR,-10.34,-67.19,75.74,75.74,87,100,1.39
291,villarrobledo,ES,39.27,-2.6,45.1,48.0,71,17,8.01
292,le port,FR,42.87,1.37,41.88,53.01,52,98,3.36
293,vostok,RU,46.45,135.83,3.06,3.06,94,100,10.29
294,destin,US,30.39,-86.5,42.49,46.99,70,1,12.75
295,thabazimbi,ZA,-24.59,27.41,91.99,91.99,22,10,3.0
296,lorengau,PG,-2.02,147.27,83.34,83.34,72,0,2.42
297,lebu,ET,8.96,38.73,71.6,71.6,40,75,12.75
298,shache,CN,38.42,77.24,46.92,46.92,24,100,4.34
299,iona,CA,45.96,-60.8,27.0,28.99,49,90,25.28
300,belyy yar,RU,53.6,91.39,-0.4,-0.4,64,92,6.71
301,saint-augustin,CA,45.63,-73.98,10.24,12.99,77,20,4.7
302,nouadhibou,MR,20.93,-17.03,68.0,68.0,60,96,18.34
303,eirunepe,BR,-6.66,-69.87,78.24,78.24,88,94,1.88
304,vostochnyy,RU,55.82,37.87,36.88,37.4,93,90,8.95
305,tuktoyaktuk,CA,69.44,-133.03,-1.86,-1.86,97,100,8.05
306,san juan,AR,-31.54,-68.53,85.68,85.68,30,0,26.13
307,dondo,MZ,-19.62,34.74,89.6,89.6,49,20,14.99
308,amalapuram,IN,16.58,82.0,86.0,86.0,66,0,10.29
309,gimli,CA,50.63,-96.99,31.42,33.01,73,100,8.99
310,teterow,DE,53.77,12.58,43.36,46.4,87,75,11.41
311,gat,SN,14.69,-16.54,85.33,86.0,58,86,8.05
312,beipiao,CN,41.8,120.76,26.73,26.73,32,100,2.93
313,rincon,PA,8.46,-82.28,68.86,75.2,100,20,2.24
314,moyale,ET,3.52,39.05,76.77,76.77,59,11,9.98
315,hobyo,SO,5.35,48.53,81.28,81.28,71,7,17.9
316,noyabrsk,RU,63.2,75.45,10.33,10.33,95,100,7.63
317,loudi,CN,27.73,112.0,70.29,70.29,70,58,3.06
318,coahuayana,MX,18.62,-100.35,72.3,72.3,87,79,1.72
319,leningradskiy,RU,69.38,178.42,15.21,15.21,76,0,3.0
320,mecca,SA,21.43,39.83,82.11,82.11,53,49,14.81
321,dingzhou,CN,38.51,115.0,44.6,44.6,81,90,2.24
322,ahuimanu,US,21.44,-157.84,75.88,78.8,78,1,3.36
323,bathsheba,BB,13.22,-59.52,86.0,86.0,66,20,8.05
324,sandwick,GB,54.57,-2.89,46.18,51.01,87,100,10.29
325,richards bay,ZA,-28.77,32.06,70.52,70.52,78,0,14.34
326,san jose,HN,14.25,-87.96,73.4,73.4,83,75,5.82
327,olinda,AU,-37.84,145.39,53.22,55.99,66,90,11.41
328,ilulissat,GL,69.22,-51.1,24.8,24.8,53,75,19.46
329,oistins,BB,13.07,-59.53,86.0,86.0,66,20,8.05
330,guarapuava,BR,-25.4,-51.46,79.56,79.56,38,0,3.11
331,fujin,CN,47.24,132.03,11.73,11.73,60,0,16.11
332,vestmannaeyjar,IS,63.44,-20.27,39.2,39.2,58,40,17.22
333,sangar,RU,63.92,127.47,-19.16,-19.16,99,97,2.64
334,podporozhye,RU,60.91,34.16,32.65,32.65,98,100,3.96
335,riga,LV,56.95,24.11,41.18,42.8,93,90,9.17
336,arraial do cabo,BR,-22.97,-42.02,77.0,77.0,73,80,17.22
337,ayan,IR,38.23,44.7,29.12,29.12,75,0,2.82
338,buala,SB,-8.15,159.59,80.37,80.37,85,37,9.17
339,ahipara,NZ,-35.17,173.16,61.0,61.0,100,0,11.34
340,raudeberg,NO,61.99,5.14,33.33,42.8,60,0,5.82
341,yeniseysk,RU,58.45,92.17,-4.86,-4.86,96,100,5.68
342,srednekolymsk,RU,67.46,153.71,6.12,6.12,95,100,6.4
343,makinsk,KZ,52.63,70.42,15.4,15.4,83,94,15.35
344,evensk,RU,61.92,159.24,8.44,8.44,73,100,14.97
345,narsaq,GL,60.91,-46.05,21.2,21.2,37,75,5.82
346,thinadhoo,MV,0.53,72.93,79.65,79.65,79,100,8.39
347,hami,CN,42.84,93.51,21.16,21.16,17,0,10.0
348,krasnorechenskiy,RU,44.63,135.35,10.06,10.06,59,0,11.52
349,santo domingo,DO,18.48,-69.94,79.97,82.99,88,20,5.14
350,estelle,FR,43.97,3.47,51.91,52.0,71,97,6.93
351,yamasaki,JP,34.97,134.76,54.07,57.2,76,75,4.7
352,turek,PL,52.02,18.5,58.06,59.0,80,100,11.32
353,haines junction,CA,60.75,-137.51,25.72,25.72,96,100,9.28
354,lompoc,US,34.64,-120.46,54.1,62.01,93,1,5.82
355,paso de carrasco,UY,-34.86,-56.05,73.78,75.99,49,75,17.22
356,mbanza-ngungu,CD,-5.25,14.87,75.15,75.15,88,100,5.77
357,labuhan,ID,-2.54,115.51,76.23,76.23,78,72,2.13
358,paracatu,BR,-17.22,-46.87,74.62,74.62,71,100,2.21
359,north battleford,CA,52.78,-108.3,35.06,36.0,93,90,16.11
360,imbituba,BR,-28.24,-48.67,75.2,75.2,57,20,8.05
361,ken caryl,US,39.58,-105.11,42.46,50.0,39,75,10.29
362,tilichiki,RU,60.47,166.1,5.11,5.11,82,95,10.22
363,broome,GB,52.47,1.45,46.6,48.99,66,40,3.36
364,vilyuysk,RU,63.75,121.63,-10.84,-10.84,97,100,8.46
365,morristown,US,36.21,-83.29,33.42,39.99,69,1,3.36
366,eatonton,US,33.33,-83.39,45.7,48.2,81,90,9.86
367,puerto escondido,MX,15.86,-97.07,75.2,75.2,69,75,11.41
368,chegdomyn,RU,51.13,133.04,-9.63,-9.63,94,100,1.77
369,campbell river,CA,50.02,-125.24,47.57,48.2,93,90,8.05
370,fuerte olimpo,BR,-21.04,-57.87,94.05,94.05,25,0,5.28
371,norman wells,CA,65.28,-126.83,-5.8,-5.8,83,90,8.05
372,beian,NO,63.66,9.57,34.14,39.0,74,81,9.17
373,tura,RU,64.27,100.22,-28.95,-28.95,95,40,2.68
374,morant bay,JM,17.88,-76.41,83.32,84.0,61,20,6.93
375,suleja,NG,9.18,7.18,93.2,93.2,56,100,9.17
376,okhotsk,RU,59.36,143.24,17.91,17.91,69,98,17.74
377,haverfordwest,GB,51.8,-4.97,48.24,50.0,71,100,5.82
378,susuman,RU,62.78,148.15,-6.5,-6.5,94,83,2.64
379,caohai,CN,26.87,104.28,49.89,49.89,96,0,4.25
380,sambava,MG,-14.27,50.17,74.8,74.8,96,100,1.5
381,nogliki,RU,51.8,143.14,13.82,13.82,85,100,25.12
382,semporna,MY,4.48,118.61,78.8,78.8,94,75,2.24
383,baykit,RU,61.68,96.39,-25.26,-25.26,98,79,1.12
384,komsomolskiy,RU,67.55,63.78,22.15,22.15,96,98,8.41
385,diffa,NE,13.32,12.61,96.62,96.62,11,85,11.03
386,saldanha,PT,41.42,-6.55,46.51,46.51,58,0,15.12
387,lagoa,PT,37.14,-8.45,60.26,60.8,36,0,6.93
388,mayo,CA,63.59,-135.9,5.0,5.0,71,90,9.17
389,inverell,AU,-29.78,151.11,62.04,64.0,49,0,3.0
390,lerwick,GB,60.15,-1.15,45.5,46.4,70,20,1.12
391,san rafael,AR,-34.61,-68.33,75.34,75.34,30,0,12.73
392,loma bonita,MX,18.11,-95.88,66.99,66.99,88,100,3.0
393,sungaipenuh,ID,-2.08,101.38,62.01,62.01,92,28,1.9
394,paulo afonso,BR,-9.4,-38.23,102.81,102.81,22,51,4.97
395,honningsvag,NO,70.98,25.97,34.95,34.95,75,1,10.71
